salesdate,notes,total_sales
2010-06-21,,0.06076557248561978
2010-06-22,,0.03234055554817541
2010-06-23,,0.0668032732441516
2010-06-24,,0.017601657876907952
2010-06-25,,0.038507777940141076
2010-06-26,,0.08543114098595853
2010-06-27,,0.07603916202824236
2010-06-28,,0.004333993118748091
2010-06-29,,0.07385389959748662
2010-06-30,,0.09490946769929726
2010-07-01,,0.016163635639039813
2010-07-02,paypal,0.14023871833362114
2010-07-03,,0.09487293595653387
2010-07-05,,0.056654090890976
2010-07-06,,0.14378893951671826
2010-07-07,,0.16520982504616286
2010-07-08,,0.030178540590087274
2010-07-09,,0.03123131899517781
2010-07-10,,0.29188862467951704
2010-07-11,,0.01292559480319354
2010-07-12,,0.06290766103856424
2010-07-13,,0.09649361690821899
2010-07-14,,0.06555123078762437
2010-07-15,,0.16638216188211538
